video_id,channel_id,title,published_at,age_days,views_per_day,engagement_rate,likes_per_1k,comments_per_1k,views_per_min,title_len,emoji_cnt,question_mark_flag,duration_sec,is_short,weekday,hour,topic_primary,topic_secondary,views_per_sub
Rcpidz-jnZQ,UC7cs8q-gJRlGwj4A8OmCmXg,SQL is King,2025-08-27 11:05:28+00:00,1.1638045039583331,3615.727543318268,0.0484790874524714,46.57794676806084,1.9011406844106464,5610.666666666667,11,0,False,45,True,2,11,sql,none,0.0036912280701754
QzvA7r-WndM,UC7cs8q-gJRlGwj4A8OmCmXg,What is Git and GitHub?,2025-08-26 12:00:54+00:00,2.125309133587963,2317.309949016959,0.0477157360406091,46.29441624365482,1.4213197969543148,577.1484375,23,0,True,512,False,1,12,career/interview,none,0.0043201754385964
yhlqKsYpzgE,UC7cs8q-gJRlGwj4A8OmCmXg,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-08-21 14:09:29+00:00,7.036015152106481,414.5812561427888,0.0469660610215975,43.19506342132328,3.7709976002742542,47.650421998366454,54,0,False,3673,False,3,14,career/interview,livestream/qa,0.0025587719298245
kk5zEOQzTmQ,UC7cs8q-gJRlGwj4A8OmCmXg,Data Visualization and Presentation in R | R for Data Analytics Series,2025-08-19 12:01:22+00:00,9.124985059513888,295.12377088138084,0.0330486446342369,28.592647604901597,4.455997029335314,127.83227848101266,70,0,False,1264,False,1,12,r,data viz,0.0023622807017543
TP2OJuZhbIQ,UC7cs8q-gJRlGwj4A8OmCmXg,Things I Learned as a Data Analyst p1,2025-08-15 11:46:04+00:00,13.135610059513889,523.8431994269055,0.0367679116407498,34.878651358814125,1.8892602819357651,10864.736842105263,37,0,False,38,True,4,11,general/data,none,0.0060359649122807
Mi8st3hyMH8,UC7cs8q-gJRlGwj4A8OmCmXg,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-08-14 14:18:24+00:00,14.029823022476853,208.19934758409528,0.0414241698048613,38.685381718589525,2.7387880862718244,44.17948071590623,54,0,False,3967,False,3,14,career/interview,livestream/qa,0.0025622807017543
vAKs1-EEJ38,UC7cs8q-gJRlGwj4A8OmCmXg,How to Remove Duplicates in an R Dataframe | R for Data Analytics Series,2025-08-12 12:01:49+00:00,16.12467255951389,116.15739749672568,0.0357714895888948,34.169781099839824,1.601708489054992,230.2868852459017,72,0,False,488,False,1,12,r,career/interview,0.0016429824561403
-Z2KjOUcvTA,UC7cs8q-gJRlGwj4A8OmCmXg,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-08-07 14:31:54+00:00,21.020448022476852,148.75991209399274,0.0422129836904381,36.136872401662934,6.076111288775184,47.5709939148073,54,0,False,3944,False,3,14,career/interview,livestream/qa,0.0027429824561403
v5jasYkmwZI,UC7cs8q-gJRlGwj4A8OmCmXg,Standardizing and Parsing Dates in R  using Lubridate | R for Data Analytics Series,2025-08-05 12:01:44+00:00,23.12473042988426,69.49270197430116,0.0280024891101431,24.268823895457373,3.73366521468575,190.55335968379447,83,0,False,506,False,1,12,r,career/interview,0.001409649122807
kqhJff8ruKw,UC7cs8q-gJRlGwj4A8OmCmXg,Traditional applying to jobs is dead.,2025-08-01 12:53:29+00:00,27.08879292988426,601.9832645259795,0.040596063040412,38.817685656466544,1.7783773839455448,16869.310344827587,37,0,False,58,True,4,12,career/interview,none,0.0143043859649122
